HomeTeam,AwayTeam,HomeYards,AwayYards,HomeWin
KC,DET,316.0,368.0,0
ATL,CAR,221.0,281.0,1
CLE,CIN,350.0,142.0,1
IND,JAX,280.0,342.0,0
MIN,TB,369.0,242.0,0
NO,TEN,351.0,285.0,1
PIT,SF,239.0,391.0,0
WSH,ARI,248.0,210.0,1
BAL,HOU,265.0,268.0,1
CHI,GB,311.0,329.0,0
DEN,LV,260.0,261.0,0
NE,PHI,382.0,251.0,0
LAC,MIA,433.0,536.0,0
SEA,LAR,180.0,426.0,0
NYG,DAL,171.0,265.0,0
NYJ,BUF,289.0,314.0,1
PHI,MIN,430.0,374.0,1
ATL,GB,446.0,224.0,1
BUF,LV,450.0,240.0,1
CIN,BAL,282.0,415.0,0
DET,SEA,418.0,393.0,0
TEN,LAC,341.0,342.0,1
TB,CHI,437.0,236.0,1
JAX,KC,271.0,399.0,0
HOU,IND,389.0,353.0,0
LAR,SF,386.0,365.0,0
ARI,NYG,379.0,439.0,0
DAL,NYJ,382.0,215.0,1
DEN,WSH,399.0,388.0,0
NE,MIA,288.0,389.0,0
CAR,NO,239.0,341.0,0
PIT,CLE,255.0,408.0,1
SF,NYG,441.0,150.0,1
CLE,TEN,341.0,94.0,1
DET,ATL,358.0,183.0,1
GB,NO,340.0,252.0,1
MIA,DEN,726.0,363.0,1
MIN,LAC,475.0,475.0,0
NYJ,NE,171.0,358.0,0
WSH,BUF,230.0,386.0,0
JAX,HOU,404.0,366.0,0
BAL,IND,364.0,327.0,0
SEA,CAR,425.0,378.0,1
KC,CHI,456.0,203.0,1
ARI,DAL,400.0,416.0,1
LV,PIT,362.0,333.0,0
TB,PHI,174.0,472.0,0
CIN,LAR,309.0,292.0,1
GB,DET,230.0,401.0,0
JAX,ATL,300.0,287.0,1
BUF,MIA,414.0,393.0,1
CHI,DEN,471.0,311.0,0
CLE,BAL,166.0,296.0,0
TEN,CIN,400.0,211.0,1
IND,LAR,329.0,467.0,0
NO,TB,197.0,353.0,0
PHI,WSH,415.0,365.0,1
CAR,MIN,232.0,265.0,0
HOU,PIT,451.0,225.0,1
LAC,LV,305.0,264.0,1
DAL,NE,377.0,253.0,1
SF,ARI,395.0,362.0,1
NYJ,KC,336.0,401.0,0
NYG,SEA,248.0,281.0,0
WSH,CHI,388.0,451.0,0
BUF,JAX,388.0,474.0,0
ATL,HOU,447.0,313.0,1
DET,CAR,377.0,342.0,1
IND,TEN,429.0,348.0,1
MIA,NYG,524.0,268.0,1
NE,NO,156.0,304.0,0
PIT,BAL,289.0,335.0,1
LAR,PHI,249.0,454.0,0
ARI,CIN,294.0,380.0,0
DEN,NYJ,308.0,407.0,0
MIN,KC,329.0,333.0,0
SF,DAL,421.0,197.0,1
LV,GB,279.0,285.0,1
KC,DEN,389.0,197.0,1
TEN,BAL,233.0,360.0,0
ATL,WSH,402.0,193.0,0
CHI,MIN,275.0,220.0,0
CIN,SEA,214.0,384.0,1
CLE,SF,334.0,215.0,1
MIA,CAR,424.0,296.0,1
JAX,IND,233.0,354.0,1
HOU,NO,297.0,430.0,1
LV,NE,348.0,259.0,1
LAR,ARI,382.0,345.0,1
NYJ,PHI,244.0,348.0,1
TB,DET,251.0,380.0,0
BUF,NYG,297.0,317.0,1
LAC,DAL,272.0,342.0,0
NO,JAX,407.0,330.0,0
CHI,LV,323.0,235.0,1
IND,CLE,456.0,316.0,0
NE,BUF,364.0,339.0,1
NYG,WSH,356.0,273.0,1
TB,ATL,329.0,401.0,0
BAL,DET,503.0,337.0,1
LAR,PIT,354.0,300.0,0
SEA,ARI,318.0,249.0,1
DEN,GB,339.0,331.0,1
KC,LAC,483.0,358.0,1
PHI,MIA,355.0,244.0,1
MIN,SF,452.0,325.0,1
BUF,TB,427.0,302.0,1
DAL,LAR,387.0,280.0,1
GB,MIN,270.0,346.0,0
TEN,ATL,375.0,342.0,1
IND,NO,371.0,511.0,0
MIA,NE,390.0,218.0,1
NYG,NYJ,194.0,251.0,0
PIT,JAX,261.0,377.0,0
WSH,PHI,472.0,374.0,0
CAR,HOU,224.0,229.0,1
SEA,CLE,362.0,385.0,1
DEN,KC,240.0,274.0,1
ARI,BAL,310.0,268.0,0
SF,CIN,460.0,400.0,0
LAC,CHI,352.0,295.0,1
DET,LV,486.0,157.0,1
PIT,TEN,326.0,340.0,1
KC,MIA,267.0,292.0,1
ATL,MIN,370.0,363.0,0
CLE,ARI,326.0,58.0,1
GB,LAR,391.0,187.0,1
NE,WSH,327.0,432.0,0
NO,CHI,301.0,368.0,1
BAL,SEA,515.0,151.0,1
HOU,TB,496.0,332.0,1
CAR,IND,275.0,198.0,0
LV,NYG,334.0,277.0,1
PHI,DAL,292.0,406.0,1
CIN,BUF,397.0,317.0,1
NYJ,LAC,270.0,191.0,0
CHI,CAR,295.0,213.0,1
NE,IND,340.0,264.0,0
CIN,HOU,380.0,544.0,0
MIN,NO,388.0,280.0,1
PIT,GB,324.0,399.0,1
TB,TEN,340.0,209.0,1
JAX,SF,221.0,437.0,0
BAL,CLE,306.0,373.0,0
ARI,ATL,352.0,254.0,1
LAC,DET,421.0,533.0,0
DAL,NYG,640.0,172.0,1
SEA,WSH,489.0,356.0,1
LV,NYJ,274.0,365.0,1
BUF,DEN,369.0,300.0,0
BAL,CIN,405.0,272.0,1
CLE,PIT,259.0,249.0,1
DET,CHI,338.0,334.0,1
GB,LAC,397.0,394.0,1
MIA,LV,422.0,296.0,1
WSH,NYG,404.0,292.0,0
CAR,DAL,187.0,311.0,0
JAX,TEN,389.0,235.0,1
HOU,ARI,419.0,319.0,1
SF,TB,420.0,287.0,1
BUF,NYJ,393.0,155.0,1
LAR,SEA,267.0,291.0,1
DEN,MIN,295.0,385.0,1
KC,PHI,336.0,238.0,0
DET,GB,464.0,377.0,0
DAL,WSH,431.0,376.0,1
SEA,SF,220.0,377.0,0
NYJ,MIA,159.0,395.0,0
ATL,NO,396.0,444.0,1
CIN,PIT,222.0,421.0,0
TEN,CAR,264.0,258.0,1
IND,TB,394.0,298.0,1
NYG,NE,220.0,283.0,1
HOU,JAX,352.0,445.0,0
DEN,CLE,294.0,269.0,1
ARI,LAR,292.0,457.0,0
LV,KC,358.0,360.0,0
PHI,BUF,378.0,505.0,1
LAC,BAL,279.0,361.0,0
MIN,CHI,242.0,317.0,0
DAL,SEA,411.0,406.0,1
TEN,IND,381.0,355.0,0
NE,LAC,257.0,241.0,0
NO,DET,362.0,347.0,0
NYJ,ATL,259.0,194.0,0
PIT,ARI,317.0,282.0,0
WSH,MIA,245.0,406.0,0
HOU,DEN,353.0,282.0,1
TB,CAR,322.0,282.0,1
LAR,CLE,399.0,327.0,1
PHI,SF,333.0,456.0,0
GB,KC,382.0,337.0,1
JAX,CIN,376.0,491.0,0
PIT,NE,264.0,303.0,0
ATL,TB,434.0,290.0,0
CHI,DET,336.0,267.0,1
CIN,IND,385.0,272.0,1
CLE,JAX,389.0,293.0,1
NO,CAR,207.0,303.0,1
NYJ,HOU,347.0,135.0,1
BAL,LAR,449.0,410.0,1
LV,MIN,202.0,231.0,0
SF,SEA,527.0,324.0,1
KC,BUF,346.0,327.0,0
LAC,DEN,283.0,322.0,0
DAL,PHI,394.0,324.0,1
MIA,TEN,366.0,403.0,0
NYG,GB,367.0,326.0,1
LV,LAC,378.0,326.0,1
CIN,MIN,378.0,424.0,1
IND,PIT,372.0,216.0,1
DET,DEN,448.0,287.0,1
CLE,CHI,377.0,236.0,1
GB,TB,321.0,452.0,0
TEN,HOU,204.0,340.0,0
MIA,NYJ,290.0,103.0,1
NE,KC,206.0,326.0,0
NO,NYG,296.0,193.0,1
CAR,ATL,283.0,204.0,1
LAR,WSH,445.0,297.0,1
ARI,SF,436.0,406.0,0
BUF,DAL,351.0,195.0,1
JAX,BAL,333.0,396.0,0
SEA,PHI,297.0,321.0,1
LAR,NO,458.0,339.0,1
PIT,CIN,397.0,368.0,1
LAC,BUF,273.0,335.0,0
ATL,IND,406.0,262.0,1
TEN,SEA,287.0,273.0,0
MIN,DET,390.0,389.0,0
NYJ,WSH,381.0,245.0,1
CAR,GB,394.0,369.0,0
HOU,CLE,250.0,418.0,0
TB,JAX,335.0,305.0,1
CHI,ARI,420.0,306.0,1
MIA,DAL,375.0,339.0,1
DEN,NE,276.0,289.0,0
KC,LV,308.0,205.0,0
PHI,NYG,465.0,292.0,1
SF,BAL,429.0,343.0,0
CLE,NYJ,428.0,360.0,1
DAL,DET,384.0,420.0,1
BAL,PIT,224.0,289.0,0
IND,HOU,360.0,306.0,0
CIN,CLE,328.0,244.0,1
DET,MIN,381.0,448.0,1
TEN,JAX,327.0,362.0,1
NE,NYJ,119.0,254.0,0
NO,ATL,400.0,389.0,1
CAR,TB,199.0,228.0,0
GB,CHI,432.0,192.0,1
LV,DEN,359.0,286.0,1
NYG,PHI,415.0,299.0,1
ARI,SEA,466.0,327.0,0
LAC,KC,353.0,268.0,0
SF,LAR,300.0,258.0,0
WSH,DAL,180.0,440.0,0
MIA,BUF,275.0,473.0,0
