HomeTeam,AwayTeam,HomeOffYards,HomeDefYards,AwayOffYards,AwayDefYards,HomeWin
ATL,ARI,350.0,320.0,340.0,330.0,1
DET,CHI,350.0,320.0,340.0,330.0,1
KC,DEN,350.0,320.0,340.0,330.0,1
NE,MIA,350.0,320.0,340.0,330.0,1
NYG,IND,350.0,320.0,340.0,330.0,1
PHI,NO,350.0,320.0,340.0,330.0,0
TB,CAR,350.0,320.0,340.0,330.0,1
WSH,CLE,350.0,320.0,340.0,330.0,0
HOU,JAX,350.0,320.0,340.0,330.0,0
LV,SF,350.0,320.0,340.0,330.0,0
SEA,NYJ,350.0,320.0,340.0,330.0,1
GB,MIN,350.0,320.0,340.0,330.0,1
LAC,LAR,350.0,320.0,340.0,330.0,1
BAL,PIT,350.0,320.0,340.0,330.0,0
LV,KC,350.0,320.0,340.0,330.0,0
JAX,TEN,350.0,320.0,340.0,330.0,1
ATL,TB,350.0,320.0,340.0,330.0,1
BUF,NE,350.0,320.0,340.0,330.0,1
CHI,MIN,350.0,320.0,340.0,330.0,0
CIN,BAL,350.0,320.0,340.0,330.0,1
IND,HOU,350.0,320.0,340.0,330.0,0
MIA,NYJ,350.0,320.0,340.0,330.0,1
NO,CAR,350.0,320.0,340.0,330.0,0
PIT,CLE,350.0,320.0,340.0,330.0,1
DEN,LAC,350.0,320.0,340.0,330.0,1
PHI,NYG,350.0,320.0,340.0,330.0,1
SF,ARI,350.0,320.0,340.0,330.0,1
SEA,LAR,350.0,320.0,340.0,330.0,1
WSH,DAL,350.0,320.0,340.0,330.0,1
GB,DET,350.0,320.0,340.0,330.0,0
SF,SEA,350.0,320.0,340.0,330.0,1
JAX,LAC,350.0,320.0,340.0,330.0,1
BUF,MIA,350.0,320.0,340.0,330.0,1
MIN,NYG,350.0,320.0,340.0,330.0,0
CIN,BAL,350.0,320.0,340.0,330.0,1
TB,DAL,350.0,320.0,340.0,330.0,0
KC,JAX,350.0,320.0,340.0,330.0,1
PHI,NYG,350.0,320.0,340.0,330.0,1
BUF,CIN,350.0,320.0,340.0,330.0,0
SF,DAL,350.0,320.0,340.0,330.0,1
PHI,SF,350.0,320.0,340.0,330.0,1
KC,CIN,350.0,320.0,340.0,330.0,1
NFC,AFC,350.0,320.0,340.0,330.0,1
PHI,KC,350.0,320.0,340.0,330.0,0
CLE,NYJ,350.0,320.0,340.0,330.0,1
NE,HOU,350.0,320.0,340.0,330.0,0
SEA,MIN,350.0,320.0,340.0,330.0,1
CIN,GB,350.0,320.0,340.0,330.0,0
DET,NYG,350.0,320.0,340.0,330.0,1
MIA,ATL,350.0,320.0,340.0,330.0,0
TB,PIT,350.0,320.0,340.0,330.0,0
CLE,WSH,350.0,320.0,340.0,330.0,0
ARI,DEN,350.0,320.0,340.0,330.0,1
BUF,IND,350.0,320.0,340.0,330.0,1
CHI,TEN,350.0,320.0,340.0,330.0,1
CAR,NYJ,350.0,320.0,340.0,330.0,0
DAL,JAX,350.0,320.0,340.0,330.0,0
BAL,PHI,350.0,320.0,340.0,330.0,1
LAR,LAC,350.0,320.0,340.0,330.0,0
NO,KC,350.0,320.0,340.0,330.0,1
LV,SF,350.0,320.0,340.0,330.0,1
PHI,CLE,350.0,320.0,340.0,330.0,0
NYG,CAR,350.0,320.0,340.0,330.0,1
ATL,CIN,350.0,320.0,340.0,330.0,0
DET,JAX,350.0,320.0,340.0,330.0,0
HOU,MIA,350.0,320.0,340.0,330.0,0
PIT,BUF,350.0,320.0,340.0,330.0,1
IND,CHI,350.0,320.0,340.0,330.0,1
NYJ,TB,350.0,320.0,340.0,330.0,0
GB,NE,350.0,320.0,340.0,330.0,0
MIN,TEN,350.0,320.0,340.0,330.0,0
ARI,KC,350.0,320.0,340.0,330.0,0
SF,DEN,350.0,320.0,340.0,330.0,1
LAR,LV,350.0,320.0,340.0,330.0,0
SEA,DAL,350.0,320.0,340.0,330.0,1
LAC,NO,350.0,320.0,340.0,330.0,0
WSH,BAL,350.0,320.0,340.0,330.0,1
ATL,PIT,350.0,320.0,340.0,330.0,0
PHI,IND,350.0,320.0,340.0,330.0,0
CAR,DET,350.0,320.0,340.0,330.0,0
TEN,NE,350.0,320.0,340.0,330.0,1
SF,LAC,350.0,320.0,340.0,330.0,0
CHI,BUF,350.0,320.0,340.0,330.0,0
GB,SEA,350.0,320.0,340.0,330.0,1
KC,CLE,350.0,320.0,340.0,330.0,1
MIN,ARI,350.0,320.0,340.0,330.0,0
NYG,NYJ,350.0,320.0,340.0,330.0,0
WSH,CIN,350.0,320.0,340.0,330.0,1
TB,BAL,350.0,320.0,340.0,330.0,1
JAX,MIA,350.0,320.0,340.0,330.0,1
DAL,LV,350.0,320.0,340.0,330.0,1
DEN,LAR,350.0,320.0,340.0,330.0,1
NO,HOU,350.0,320.0,340.0,330.0,0
KC,DET,350.0,320.0,340.0,330.0,0
ATL,CAR,350.0,320.0,340.0,330.0,1
CLE,CIN,350.0,320.0,340.0,330.0,1
IND,JAX,350.0,320.0,340.0,330.0,0
MIN,TB,350.0,320.0,340.0,330.0,0
NO,TEN,350.0,320.0,340.0,330.0,1
PIT,SF,350.0,320.0,340.0,330.0,0
