TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,SEASON
200,76ers GC,28,16,12,0.571,681.0,799,1295,0.617,297,586,0.507,99,141,0.702,161,305,466,477,163.0,137,88,72,298,309,1994,53.0,71,57,22,35,73,80,85,5,71,85,7,88,89,83,83,88,88,88,8,85,75,10,11,82,81,42,2021-22
1612709924,Agua Caliente Clippers,33,22,11,0.667,1586.133333,1412,2972,0.475,378,1008,0.375,338,430,0.786,372,1193,1565,834,494.0,282,208,162,658,588,3744,190.0,38,35,18,15,41,37,41,30,46,55,27,59,68,24,46,33,38,45,46,45,33,48,50,60,39,19,2021-22
1611661330,Atlanta Dream,32,8,24,0.25,1290.0,980,2352,0.417,196,632,0.31,362,503,0.72,311,782,1093,558,382.0,285,149,126,588,521,2518,-180.0,43,87,61,89,62,63,59,91,91,74,92,52,49,73,56,69,67,69,27,44,53,31,36,69,67,76,2021-22
1610612737,Atlanta Hawks,87,45,42,0.517,4143.0,3569,7606,0.469,1103,2970,0.371,1536,1894,0.811,869,2925,3794,2126,1051.0,618,369,381,1634,1758,9777,104.0,8,16,81,47,29,10,16,35,11,18,29,9,14,11,20,17,21,14,66,24,23,74,71,9,7,31,2021-22
1612709890,Austin Spurs,32,13,19,0.406,1542.0,1336,2971,0.45,345,1024,0.337,313,457,0.685,420,1078,1498,800,499.0,297,184,176,724,657,3519,-78.0,43,73,47,69,47,47,42,74,59,54,77,67,60,89,34,50,45,53,48,39,37,56,62,42,54,65,2021-22
1612709913,Birmingham Squadron,32,18,14,0.563,1540.0,1323,2750,0.481,455,1194,0.381,335,434,0.772,295,1052,1347,880,466.0,248,121,99,606,609,3630,22.0,43,47,28,37,49,50,58,25,35,40,24,62,67,33,59,55,57,36,35,56,67,24,39,53,45,46,2021-22
228,Blazer5 Gaming,27,15,12,0.556,648.0,804,1290,0.623,263,523,0.503,124,169,0.734,160,331,491,539,185.0,172,87,82,293,289,1995,83.0,81,61,22,39,86,77,86,4,82,91,10,76,75,64,84,79,83,72,13,71,76,17,9,89,80,32,2021-22
1610612738,Boston Celtics,87,55,32,0.632,4181.0,3516,7542,0.466,1154,3234,0.357,1445,1785,0.81,904,3086,3990,2157,1197.0,622,505,397,1629,1681,9631,648.0,8,5,68,21,8,15,19,43,9,8,44,17,25,13,13,4,7,10,77,22,2,76,69,21,14,1,2021-22
1610612751,Brooklyn Nets,87,47,40,0.54,4155.0,3590,7646,0.47,977,2744,0.356,1542,1912,0.806,914,2948,3862,2138,1243.0,617,479,437,1784,1744,9699,56.0,8,14,79,42,20,6,12,34,27,28,46,6,11,15,11,15,14,13,83,25,4,87,88,12,11,40,2021-22
201,Bucks Gaming,27,6,21,0.222,651.0,772,1318,0.586,285,597,0.477,140,197,0.711,178,311,489,498,197.0,130,60,88,280,321,1969,-260.0,81,89,56,92,84,86,81,19,74,81,20,71,71,78,79,87,84,79,18,89,93,21,7,76,85,83,2021-22
1612709928,Capital City Go-Go,31,21,10,0.677,1490.0,1346,2808,0.479,282,892,0.316,369,484,0.762,409,1080,1489,866,472.0,286,153,163,697,683,3567,211.0,70,39,11,14,58,45,52,27,76,58,91,51,54,42,36,49,46,39,39,43,51,49,59,38,50,18,2021-22
204,Cavs Legion GC,28,11,17,0.393,693.0,830,1407,0.59,302,632,0.478,112,165,0.679,188,312,500,511,168.0,152,71,102,377,325,2074,-11.0,71,81,40,72,71,73,72,17,68,74,19,83,79,91,77,86,82,78,9,77,87,25,25,72,74,56,2021-22
205,Celtics Crossover Gaming,28,12,16,0.429,675.0,754,1283,0.588,305,631,0.483,92,135,0.681,160,305,465,467,202.0,143,86,78,334,316,1905,-123.0,71,76,36,64,76,90,87,18,67,76,17,91,90,90,84,88,89,91,21,81,77,16,22,80,89,71,2021-22
1610612766,Charlotte Hornets,87,43,44,0.494,4176.0,3661,7855,0.466,1181,3249,0.363,1368,1840,0.743,941,2896,3837,2395,1190.0,745,430,408,1721,1709,9871,-8.0,8,17,82,52,9,4,4,44,5,7,33,25,20,56,9,24,15,2,75,5,11,79,83,19,5,55,2021-22
1610612741,Chicago Bulls,87,48,39,0.552,4146.0,3570,7519,0.475,902,2493,0.362,1528,1887,0.81,779,2923,3702,2041,1119.0,622,359,444,1636,1593,9570,-45.0,8,13,78,40,25,8,21,31,29,30,37,10,15,12,28,19,26,20,70,22,26,89,72,29,17,62,2021-22
1611661329,Chicago Sky,32,16,16,0.5,1300.0,986,2236,0.441,233,679,0.343,459,543,0.845,265,854,1119,697,465.0,224,145,158,609,532,2664,42.0,43,57,36,48,60,61,62,83,87,64,67,35,40,2,63,65,64,58,34,62,58,45,40,68,61,43,2021-22
1610612739,Cleveland Cavaliers,87,46,41,0.529,4146.0,3411,7319,0.466,998,2830,0.353,1445,1903,0.759,896,2941,3837,2151,1244.0,613,367,405,1526,1730,9265,157.0,8,15,80,46,25,22,30,45,21,24,51,17,13,46,15,16,15,12,84,26,24,77,66,14,24,22,2021-22
1612709893,Cleveland Charge,32,6,26,0.188,1533.066667,1231,2794,0.441,350,1086,0.322,317,460,0.689,375,1190,1565,637,533.0,209,191,159,545,646,3338,-279.0,43,89,65,93,56,58,54,84,56,51,87,66,58,88,45,34,38,63,57,67,34,47,29,46,58,85,2021-22
1612709929,College Park Skyhawks,33,20,13,0.606,1586.0,1447,3068,0.472,346,956,0.362,393,516,0.762,376,1157,1533,858,468.0,250,133,201,692,712,3882,60.0,38,42,25,27,42,32,36,32,58,57,35,44,47,43,44,43,41,40,37,54,63,62,57,35,35,38,2021-22
1611661323,Connecticut Sun,32,26,6,0.813,1290.0,933,2100,0.444,223,625,0.357,462,566,0.816,311,860,1171,575,484.0,251,115,148,570,576,2551,314.0,43,27,3,2,62,66,70,78,88,77,45,34,35,8,56,64,60,68,44,53,69,42,33,62,66,8,2021-22
1610612742,Dallas Mavericks,87,53,34,0.609,4157.0,3366,7343,0.458,1108,3195,0.347,1408,1834,0.768,806,2905,3711,1996,1097.0,594,345,336,1720,1751,9248,229.0,8,7,72,26,17,25,28,60,10,10,59,21,21,35,25,22,25,25,68,28,28,66,82,10,25,12,2021-22
1611661321,Dallas Wings,32,14,18,0.438,1290.0,949,2262,0.42,262,740,0.354,436,526,0.829,320,836,1156,557,443.0,219,124,165,589,504,2596,-17.0,43,70,45,63,62,64,60,90,83,61,49,38,43,5,54,66,62,70,31,64,65,51,38,70,64,57,2021-22
1612709909,Delaware Blue Coats,32,22,10,0.688,1544.0,1439,3077,0.468,445,1252,0.355,348,482,0.722,387,1072,1459,930,472.0,375,235,157,633,634,3891,152.0,43,35,11,10,45,33,35,40,36,36,47,57,55,71,42,52,51,32,39,32,31,44,47,49,34,23,2021-22
1610612743,Denver Nuggets,87,50,37,0.575,4163.0,3570,7442,0.48,1090,3095,0.352,1439,1831,0.786,804,2997,3801,2366,1275.0,632,330,413,1740,1739,9669,149.0,8,11,76,33,13,8,25,26,13,14,52,19,23,25,26,13,20,3,91,19,29,82,84,13,12,26,2021-22
1610612765,Detroit Pistons,87,26,61,0.299,4156.0,3287,7633,0.431,981,3013,0.326,1479,1904,0.777,953,2786,3739,2008,1245.0,667,426,456,1916,1722,9034,-633.0,8,27,92,83,18,28,13,87,26,16,85,15,12,30,8,29,24,24,85,14,13,92,95,16,28,91,2021-22
1612709910,Fort Wayne Mad Ants,34,17,17,0.5,1640.0,1424,3224,0.442,456,1344,0.339,413,520,0.794,410,1159,1569,867,554.0,379,177,198,669,690,3974,14.0,33,52,40,48,35,36,32,81,34,33,73,42,45,22,35,42,37,38,61,31,40,61,51,37,32,48,2021-22
240,Gen.G Tigers,27,13,14,0.481,651.0,783,1276,0.614,315,591,0.533,118,156,0.756,154,286,440,520,176.0,155,83,76,304,281,1999,54.0,81,73,28,54,84,83,89,7,64,82,4,80,83,48,89,93,93,76,10,76,78,13,13,91,79,41,2021-22
1610612744,Golden State Warriors,89,56,33,0.629,4232.0,3544,7624,0.465,1253,3451,0.363,1365,1783,0.766,867,3140,4007,2353,1333.0,784,415,354,1862,1603,9706,459.0,3,4,70,24,6,14,14,46,1,2,34,26,26,37,21,1,3,4,94,3,16,68,93,28,10,5,2021-22
1612709917,Grand Rapids Gold,32,17,15,0.531,1538.0,1297,2780,0.467,398,1125,0.354,336,485,0.693,339,1173,1512,801,512.0,226,149,132,642,652,3532,6.0,43,52,31,44,52,54,56,41,43,47,50,61,53,87,50,38,43,51,50,61,53,35,48,45,52,50,2021-22
1612709922,Greensboro Swarm,33,9,24,0.273,1588.0,1277,2779,0.46,411,1199,0.343,352,460,0.765,287,1076,1363,809,563.0,274,181,131,677,670,3558,-181.0,38,83,61,87,39,56,57,59,39,39,69,54,58,39,61,51,54,50,62,47,38,34,54,40,51,77,2021-22
208,Grizz Gaming,27,18,9,0.667,648.0,763,1320,0.578,298,612,0.487,86,123,0.699,193,338,531,486,157.0,150,94,88,266,318,1910,118.0,81,47,9,15,86,88,79,21,70,79,14,92,92,85,74,78,74,85,6,79,73,21,5,79,88,30,2021-22
209,Hawks Talon GC,26,6,20,0.231,630.0,697,1237,0.563,271,602,0.45,95,134,0.709,159,305,464,428,210.0,132,66,63,240,297,1760,-265.0,89,89,51,91,89,93,91,22,81,80,22,90,91,80,86,88,90,92,23,86,91,4,3,86,93,84,2021-22
210,Heat Check Gaming,28,12,16,0.429,678.0,816,1325,0.616,285,588,0.485,123,167,0.737,148,323,471,519,191.0,142,97,71,367,323,2040,-64.0,71,76,36,64,74,76,78,6,74,83,16,77,76,62,91,82,86,77,17,82,71,9,24,74,77,64,2021-22
231,Hornets Venom GT,27,18,9,0.667,657.0,777,1301,0.597,311,625,0.498,126,178,0.708,178,346,524,525,178.0,163,77,73,330,333,1991,136.0,81,47,9,15,82,84,83,14,66,77,12,73,72,81,79,75,76,75,11,75,82,12,21,71,83,28,2021-22
1610612745,Houston Rockets,87,23,64,0.264,4151.0,3386,7480,0.453,1159,3362,0.345,1508,2112,0.714,848,2806,3654,2028,1430.0,645,414,519,1790,1931,9439,-693.0,8,34,95,88,22,24,23,70,8,4,62,11,1,76,23,27,30,23,95,17,17,93,89,1,19,93,2021-22
1611661325,Indiana Fever,32,6,26,0.188,1280.0,909,2183,0.416,157,552,0.284,435,544,0.8,307,792,1099,534,480.0,200,121,138,568,576,2410,-314.0,43,89,65,93,70,67,65,92,93,89,94,39,39,18,58,68,66,73,42,68,67,40,32,62,69,88,2021-22
1610612754,Indiana Pacers,87,28,59,0.322,4176.0,3554,7695,0.462,1046,3039,0.344,1421,1851,0.768,974,2815,3789,2166,1260.0,630,492,417,1778,1678,9575,-218.0,8,26,91,81,9,13,10,54,16,15,65,20,18,36,5,26,22,9,88,20,3,83,87,22,16,80,2021-22
1612709911,Iowa Wolves,32,15,17,0.469,1550.0,1295,2804,0.462,355,1065,0.333,349,486,0.718,406,1174,1580,787,592.0,233,165,176,684,657,3503,-46.0,43,61,40,56,43,55,53,55,55,52,80,56,52,74,37,37,36,54,64,60,47,56,56,42,56,63,2021-22
212,Jazz Gaming,27,17,10,0.63,648.0,830,1355,0.613,358,671,0.534,117,143,0.818,192,323,515,483,150.0,142,68,77,288,289,2135,160.0,81,52,11,22,86,73,76,8,52,65,2,82,87,7,76,82,81,86,4,82,89,14,8,89,73,21,2021-22
213,Kings Guard Gaming,28,15,13,0.536,678.0,801,1318,0.608,281,573,0.49,109,153,0.712,177,341,518,497,150.0,124,90,83,320,277,1992,58.0,71,61,25,43,74,79,81,10,77,86,13,84,84,77,81,76,78,80,4,90,74,18,19,92,82,39,2021-22
214,Knicks Gaming,28,14,14,0.5,675.0,827,1361,0.608,314,656,0.479,104,160,0.65,193,362,555,533,197.0,149,71,68,329,294,2072,28.0,71,70,28,48,76,75,75,12,65,68,18,85,82,95,74,72,71,74,18,80,87,7,20,88,75,45,2021-22
1610612746,LA Clippers,87,43,44,0.494,4156.0,3444,7569,0.455,1098,2961,0.371,1321,1684,0.784,816,3014,3830,2065,1202.0,640,446,362,1641,1604,9307,-28.0,8,17,82,52,18,20,18,68,12,19,30,29,30,26,24,10,18,17,79,18,8,70,74,27,22,59,2021-22
1612709925,Lakeland Magic,32,11,21,0.344,1538.0,1274,2783,0.458,468,1263,0.371,303,394,0.769,275,1019,1294,848,451.0,254,137,136,673,638,3529,-116.0,43,81,56,78,52,57,55,62,33,35,31,69,70,34,62,58,58,42,33,52,59,39,52,47,53,69,2021-22
215,Lakers Gaming,28,3,25,0.107,675.0,755,1394,0.542,252,587,0.429,103,145,0.71,205,325,530,471,219.0,121,83,109,312,295,1865,-398.0,71,93,64,95,76,89,73,23,85,84,23,86,86,79,70,81,75,89,24,91,78,26,16,87,90,90,2021-22
1611661319,Las Vegas Aces,32,24,8,0.75,1295.0,1060,2248,0.472,162,432,0.375,574,701,0.819,236,1001,1237,668,376.0,216,147,119,455,603,2856,290.0,43,30,6,5,61,59,61,33,92,93,27,31,31,6,66,59,59,61,26,66,56,30,26,56,59,9,2021-22
1612709921,Long Island Nets,33,18,15,0.545,1592.0,1339,3036,0.441,441,1315,0.335,309,443,0.698,465,1185,1650,753,542.0,289,155,167,677,623,3628,9.0,38,47,31,41,38,46,37,82,37,34,78,68,63,86,32,36,33,56,59,41,49,53,54,50,46,49,2021-22
1610612747,Los Angeles Lakers,89,37,52,0.416,4276.0,3627,7809,0.464,1031,3001,0.344,1480,2023,0.732,870,3003,3873,2095,1292.0,696,457,376,1768,1800,9765,-257.0,3,21,87,68,3,5,6,48,17,17,66,14,6,65,19,12,12,16,92,8,7,73,85,4,8,82,2021-22
1611661320,Los Angeles Sparks,32,12,20,0.375,1290.0,865,2107,0.411,216,645,0.335,382,499,0.766,194,741,935,494,445.0,266,135,128,618,591,2328,-139.0,43,76,51,74,62,72,68,93,89,70,79,47,51,38,73,70,70,81,32,50,60,32,44,59,70,75,2021-22
216,Magic Gaming,28,13,15,0.464,675.0,772,1319,0.585,300,643,0.467,119,164,0.726,196,348,544,488,187.0,112,76,98,315,321,1963,-34.0,71,73,31,59,76,86,80,20,69,71,21,78,80,69,72,74,72,84,14,92,83,23,17,76,86,61,2021-22
1612709915,Maine Celtics,32,16,16,0.5,1540.0,1328,2839,0.468,486,1354,0.359,319,440,0.725,313,1168,1481,947,529.0,264,154,133,642,601,3657,41.0,43,57,36,48,49,49,49,38,32,32,39,65,64,70,55,40,49,31,54,51,50,36,48,57,44,44,2021-22
217,Mavs Gaming,26,9,17,0.346,627.0,722,1218,0.593,280,545,0.514,97,143,0.678,144,323,467,406,187.0,99,68,72,299,301,1821,-132.0,89,83,40,77,91,92,92,15,78,90,6,89,87,92,92,82,87,93,14,93,89,10,12,84,92,74,2021-22
1610612763,Memphis Grizzlies,90,61,29,0.678,4280.0,3841,8381,0.458,1020,2920,0.349,1499,2053,0.73,1258,3123,4381,2296,1197.0,864,572,541,1768,1787,10201,494.0,1,2,67,13,2,1,1,61,20,21,55,13,4,66,1,3,1,6,77,1,1,95,85,5,1,4,2021-22
1612709926,Memphis Hustle,34,15,19,0.441,1650.0,1393,3103,0.449,376,1159,0.324,419,568,0.738,400,1138,1538,780,496.0,275,189,208,584,821,3834,-99.0,33,61,47,61,33,38,33,76,47,43,86,41,34,59,39,45,40,55,47,46,36,63,35,31,36,68,2021-22
